,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
3,8.316765884214679,214.3733940856225,22018.417440775294,8.05933237743854,356.88613564305666,363.2665161642437,18.436524495493305,100.34167436508007,4.6287705368370835,0
4,9.092223456290963,181.10150923612525,17978.98633892625,6.5465999742079415,310.13573752420444,398.4108133818448,11.558279443446395,31.997992727424737,4.075075425430033,0
5,5.584086638456088,188.3133237696164,28748.68773904612,7.544868788779651,326.6783629116736,280.4679159334877,8.399734640152758,54.917861841994466,2.5597082275565217,0
6,10.223862164528773,248.07173527013992,28749.716543528237,7.5134084658313025,393.6633955150965,283.6516335078445,13.789695317519884,84.60355617402357,2.672988736934779,0
7,8.635848718500734,203.36152258457054,13672.091763901635,4.563008685599703,303.3097711592812,474.6076449424485,12.363816698705248,62.798308962925155,4.401424715445482,0
9,11.180284470721594,227.23146923797455,25484.50849098786,9.077200016914393,404.04163468408996,563.8854814810949,17.92780641128502,71.97660103221915,4.370561936655497,0
10,7.360640105838258,165.52079725952862,32452.61440914388,7.5507009067041135,326.62435345560164,425.3834194953873,15.586810438033126,78.7400156643048,3.662291782852457,0
12,7.119824384264553,156.70499334039215,18730.813653342713,3.60603609050572,282.34405047396064,347.71502726194376,15.9295359088257,79.5007783369744,3.445756223321899,0
15,6.347271760539316,186.73288066057614,41065.23476453935,9.629596276480584,364.4876872467604,516.743281893657,11.53978119153942,75.07161728663776,4.376348290691898,0
17,9.181560007151537,273.8138066598009,24041.32628006128,6.904989726470096,398.3505168222779,477.97464186217786,13.387340780225545,71.4573622129516,4.503660796179123,0
19,7.3710503024295315,214.49661045715655,25630.32003699972,4.432669290372123,335.75443859606526,469.9145514792359,12.509163940498695,62.79727715266126,2.5602991476149146,0
21,6.660212026118102,168.28374685651832,30944.36359124269,5.858769130547582,310.9308583178785,523.6712975009443,17.88423519296481,77.04231805170029,3.7497012410996176,0
24,5.400301780729467,140.73906225113961,17266.593421923077,10.056852484033497,328.3582406986835,472.8740732754293,11.256381166909478,56.931906445756205,4.824786389767524,0
25,6.514415093251675,198.7673512594561,21218.702871190195,8.670936919913121,323.5963490101317,413.2904500885347,14.899999566696975,79.84784281372556,5.200885076539756,0
26,3.4450618643852127,207.92626018799373,33424.7686784948,8.782147480773485,384.00700580172116,441.7858756739387,13.80590221127079,30.2845971980027,4.1843969690288505,0
30,7.181448580829175,209.62560053629045,15196.229987483845,5.994678646449972,338.3364310774872,342.11128628519265,7.922598333022621,71.5379532557936,5.088859989138795,0
32,10.433290982804381,117.79122955039698,22326.892045718654,8.161504810728331,307.7075086118241,412.9868337903324,12.890708564511785,65.73347838938281,5.057310516515726,0
33,7.414148196336244,235.0445344873711,32555.852537073686,6.845952023844903,387.1753164773568,411.98336416701204,10.2448150683598,44.48929725226032,3.1606244682326383,0
35,5.115817063771218,191.95274297485886,19620.545328612152,6.060712994989327,323.8363839136296,441.7483793248688,10.966486152953449,49.23823132273568,3.9020887676437535,0
36,3.6416297774733812,183.9087222618269,24752.072459755404,5.5383141334813635,286.0595560492713,456.8600959410411,9.03406675271333,73.5946567566564,3.464353035155024,0
39,9.267187530763547,198.614394719096,24683.723566029654,6.110612421393192,328.0775332014693,396.8769490579176,16.471969353155146,30.383314574642014,4.324004645618281,0
41,5.331940479018537,194.87406544579957,16658.876503163574,7.993829562375317,316.67516182816695,335.1203984374612,10.180513802631594,59.57271371122686,4.434820257956548,0
42,7.145771545218822,238.68992851166007,28780.340431632725,6.814028701209071,385.9756504867898,332.0327063306858,11.093163397452658,66.13804474710018,5.182590703980226,0
43,9.920691058768153,202.81748300142638,9973.934059208535,6.882248306781503,337.3505291096372,333.19246993768064,23.917601261274967,71.833623959766,4.690707230132491,0
46,6.953864225511059,209.63829297902058,10575.186280889358,4.462707246137983,315.6065944003924,391.18431508600565,13.28533391608596,87.39088897956339,3.195710328196264,0
47,10.68296642580598,173.3754983501208,15758.740621388915,5.570783575394459,307.35258576592696,323.8079132465807,10.0908697516698,78.47278445385456,3.999775381550061,0
49,8.757257397440991,200.19140044205727,21536.224687445414,4.915101054543187,317.88290049783706,404.7177991564453,13.768323306421337,47.930871877110214,3.6261354416122304,0
51,7.80963189801941,100.4576150915831,12013.550628764531,5.2123146020653515,247.2008260476431,605.2201243500057,9.611348740011238,66.08417363713342,2.4474444639106334,0
52,6.652488090855707,145.0101719190834,19871.788448305866,4.961066380191502,288.0521917368515,545.9749937624031,10.942024256012132,71.72741406053458,3.742090426349668,0
